Template,Parameter,Label
0f079bdd-<:NUM:>-4f6a-8b49-f3fb720b483c] Took <:NUM:>.<:NUM:> seconds to deallocate network for instance.,"['4117', '0', '54']",Normal
/var/lib/nova/instances/ base/<:SEQ:>,['a489c868f0c37da93b76227c91bb03908ac0e742'],Normal
<:NUM:> len: <:NUM:> time: <:NUM:>.<:NUM:>,"['200', '1581', '0', '0648119']",Normal
"719832a5-1b99-41ab-81a2-4c9bc9c84e39] Attempting claim: memory <:NUM:> MB, disk <:NUM:> GB, vcpus <:NUM:> CPU","['2048', '20', '1']",Normal
"719832a5-1b99-41ab-81a2-4c9bc9c84e39] Total memory: <:NUM:> MB, used: <:NUM:>.<:NUM:> MB","['64172', '512', '00']",Normal
"719832a5-1b99-41ab-81a2-4c9bc9c84e39] <:*:> <:*:> <:*:> MB, <:*:> <:NUM:>.<:NUM:> MB","['memory', 'limit:', '96258.00', 'free:', '95746', '00']",Normal
"719832a5-1b99-41ab-81a2-4c9bc9c84e39] Total disk: <:NUM:> GB, used: <:NUM:>.<:NUM:> GB","['15', '0', '00']",Normal
"719832a5-1b99-41ab-81a2-4c9bc9c84e39] disk limit not specified, defaulting to unlimited",[],Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Total <:*:> <:NUM:> <:*:> used: <:NUM:>.<:NUM:> <:*:>,"['vcpu:', '16', 'VCPU,', '0', '00', 'VCPU']",Normal
"719832a5-1b99-41ab-81a2-4c9bc9c84e39] <:*:> limit not specified, defaulting to unlimited",['vcpu'],Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Claim successful,[],Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Creating image,[],Normal
49ffab2b-3ae8-487a-a0a5-8174d9249a36] VM Stopped (Lifecycle Event),[],Normal
<:*:> VM Stopped (Lifecycle Event),['0f079bdd-4117-4f6a-8b49-f3fb720b483c]'],Normal
,[],Normal
"<:NUM:>, total allocated vcpus: <:NUM:>","['16', '1']",Normal
name=cp-<:NUM:>.slowvm1.tcloud-pg0.utah.cloudlab.us phys ram=64172MB used ram=2560MB phys disk=15GB used disk=20GB total vcpus=<:NUM:> used vcpus=<:NUM:> pci stats=[],"['1', '16', '1']",Normal
checking,[],Normal
"in use: on this node <:NUM:> local, <:NUM:> on other nodes sharing this instance storage","['1', '0']",Normal
<:*:> VM <:*:> (Lifecycle Event),"['719832a5-1b99-41ab-81a2-4c9bc9c84e39]', 'Started']",Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] During sync power state the instance has a pending task (spawning). Skip.,[],Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Instance spawned successfully.,[],Normal
